SOURCE: Data,SOURCE: Related article,METHODS:                  Sampling/Analysis,DATE (yyyy-mm-dd),LATITUDE,LONGITUDE,DEPTH (m),Trichodesmium Colonies (x103 m-3),Trichodesmium Free trichomes (x106 m-3),Trichodesmium Total Trichomes (x106 m-3),Trichodesmium Biomass Conversion factor (mg C/106 trichomes),Trichodesmium Biomass (mg C m-3),UCYN Cells (x106 m-3),UCYN Biomass Conversion factor (mg C/106 cells),UCYN Biomass (mg C m-3),Richelia Associated Species,Richelia Cells (x106 m-3),Richelia Biomass Conversion factor (mg C/106 cells),Calothrix Associated Species,Calothrix Cells  (x106 m-3),Calothrix Biomass Conversion factor (mg C/106 cells),Heterocyst (Richelia & Calotrhix) Biomass (mg C m-3),Total Diazotrophic Biomass (mg C m-3),Temperature (˚C),Salinity (PSU),Nitrate (µM),Phosphate (µM),Fe (nM),Chlorophyll  (mg m-3),Notes
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1995-09-02,25.50,122.00,20,,,0.0050,30,0.150,,,,,,,,,,,0.150,,,,,,,"year/month acurate, day estimated. Location estimated for upwelling zone"""
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1995-09-02,25.50,122.00,25,,,0.0300,30,0.900,,,,,,,,,,,0.900,,,,,,,"year/month acurate, day estimated. Location estimated for upwelling zone"""
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1995-09-02,25.50,122.00,30,,,0.0400,30,1.200,,,,,,,,,,,1.200,,,,,,,"year/month acurate, day estimated. Location estimated for upwelling zone"""
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1995-09-02,25.50,122.00,35,,,0.0010,30,0.030,,,,,,,,,,,0.030,,,,,,,"year/month acurate, day estimated. Location estimated for upwelling zone"""
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1995-09-02,25.50,122.00,40,,,0.0000,30,0.000,,,,,,,,,,,0.000,,,,,,,"year/month acurate, day estimated. Location estimated for upwelling zone"""
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1995-09-02,25.50,122.00,50,,,0.0000,30,0.000,,,,,,,,,,,0.000,,,,,,,"year/month acurate, day estimated. Location estimated for upwelling zone"""
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1995-09-02,25.50,122.00,60,,,0.0000,30,0.000,,,,,,,,,,,0.000,,,,,,,"year/month acurate, day estimated. Location estimated for upwelling zone"""
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1995-09-02,25.50,122.00,75,,,0.0000,30,0.000,,,,,,,,,,,0.000,,,,,,,"year/month acurate, day estimated. Location estimated for upwelling zone"""
"Chen, Y.L., National Sun Yat-sen University, yllee@faculty.nsysu.edu.tw","Chen et al. (2008), doi:10.4319/lo.2008.53.5.1705",Epifluorescence Microscopy ,2005-04-29,21.42,122.33,0,,,0.1410,30,4.230,,,,,,,,,,,4.230,,,0.019,0.019,,,
"Chen, Y.L., National Sun Yat-sen University, yllee@faculty.nsysu.edu.tw","Chen et al. (2008), doi:10.4319/lo.2008.53.5.1705",Epifluorescence Microscopy ,2005-08-15,21.42,122.33,0,,,0.7990,30,23.970,,,,,,,,,,,23.970,,,0.020,0.022,,,
"Chen, Y.L., National Sun Yat-sen University, yllee@faculty.nsysu.edu.tw","Chen et al. (2008), doi:10.4319/lo.2008.53.5.1705",Epifluorescence Microscopy ,2006-12-20,21.42,122.33,0,,,0.0020,30,0.060,,,,,,,,,,,0.060,,,0.023,0.013,,,
"Chen, Y.L., National Sun Yat-sen University, yllee@faculty.nsysu.edu.tw","Chen et al. (2008), doi:10.4319/lo.2008.53.5.1705",Epifluorescence Microscopy ,2005-12-26,18.25,115.67,0,,,0.0010,30,0.030,,,,,,,,,,,0.030,,,0.325,0.066,,,
"Chen, Y.L., National Sun Yat-sen University, yllee@faculty.nsysu.edu.tw","Chen et al. (2008), doi:10.4319/lo.2008.53.5.1705",Epifluorescence Microscopy ,2007-01-15,18.25,115.67,0,,,0.0010,30,0.030,,,,,,,,,,,0.030,,,0.010,0.041,,,
"Chen, Y.L., National Sun Yat-sen University, yllee@faculty.nsysu.edu.tw","Chen et al. (2008), doi:10.4319/lo.2008.53.5.1705",Epifluorescence Microscopy ,2004-05-05,18.25,115.67,0,,,0.0190,30,0.570,,,,,,,,,,,0.570,,,0.018,0.037,,,
"Chen, Y.L., National Sun Yat-sen University, yllee@faculty.nsysu.edu.tw","Chen et al. (2008), doi:10.4319/lo.2008.53.5.1705",Epifluorescence Microscopy ,2005-03-31,18.25,115.67,0,,,0.0450,30,1.350,,,,,,,,,,,1.350,,,0.016,0.016,,,
"Chen, Y.L., National Sun Yat-sen University, yllee@faculty.nsysu.edu.tw","Chen et al. (2008), doi:10.4319/lo.2008.53.5.1705",Epifluorescence Microscopy ,2004-07-04,18.00,115.50,0,,,0.0180,30,0.540,,,,,,,,,,,0.540,,,0.008,0.018,,,
"Chen, Y.L., National Sun Yat-sen University, yllee@faculty.nsysu.edu.tw","Chen et al. (2008), doi:10.4319/lo.2008.53.5.1705",Epifluorescence Microscopy ,2006-07-03,18.25,115.67,0,,,0.0120,30,0.360,,,,,,,,,,,0.360,,,0.021,0.018,,,
"Chen, Y.L., National Sun Yat-sen University, yllee@faculty.nsysu.edu.tw","Chen et al. (2008), doi:10.4319/lo.2008.53.5.1705",Epifluorescence Microscopy ,2005-11-10,18.25,115.67,0,,,0.0120,30,0.360,,,,,,,,,,,0.360,,,0.020,0.011,,,
"Chen, Y.L., National Sun Yat-sen University, yllee@faculty.nsysu.edu.tw","Chen et al. (2008), doi:10.4319/lo.2008.53.5.1705",Epifluorescence Microscopy ,2006-10-21,18.25,115.67,0,,,0.0090,30,0.270,,,,,,,,,,,0.270,,,0.037,0.015,,,
"Chen, Y.L., National Sun Yat-sen University, yllee@faculty.nsysu.edu.tw","Chen et al. (2008), doi:10.4319/lo.2008.53.5.1705",Epifluorescence Microscopy ,2006-06-24,21.42,122.33,0,,,0.5530,30,16.590,,,,,,,,,,,16.590,,,0.019,0.010,,,
"Chen, Y.L., National Sun Yat-sen University, yllee@faculty.nsysu.edu.tw","Chen et al. (2008), doi:10.4319/lo.2008.53.5.1705",Epifluorescence Microscopy ,2008-08-06,21.92,121.40,0,,,0.3990,30,11.970,,,,,,,,,,,11.970,,,0.040,0.047,,,
"Chen, Y.L., National Sun Yat-sen University, yllee@faculty.nsysu.edu.tw","Chen et al. (2008), doi:10.4319/lo.2008.53.5.1705",Epifluorescence Microscopy ,2007-12-13,21.92,121.40,0,,,0.0160,30,0.480,,,,,,,,,,,0.480,,,0.002,0.030,,,
"Chen, Y.L., National Sun Yat-sen University, yllee@faculty.nsysu.edu.tw","Chen et al. (2008), doi:10.4319/lo.2008.53.5.1705",Epifluorescence Microscopy ,2004-10-18,21.42,122.33,0,,,0.0040,30,0.120,,,,,,,,,,,0.120,,,0.059,0.033,,,
"Chen, Y.L., National Sun Yat-sen University, yllee@faculty.nsysu.edu.tw","Chen et al. (2008), doi:10.4319/lo.2008.53.5.1705",Epifluorescence Microscopy ,2006-11-08,21.42,122.33,0,,,0.0090,30,0.270,,,,,,,,,,,0.270,,,0.014,0.014,,,
"Chen, Y.L., National Sun Yat-sen University, yllee@faculty.nsysu.edu.tw","Chen et al. (2008), doi:10.4319/lo.2008.53.5.1705",Epifluorescence Microscopy ,2007-04-23,21.92,121.40,0,,,0.1210,30,3.630,,,,,,,,,,,3.630,,,0.007,0.039,,,
"Chen, Y.L., National Sun Yat-sen University, yllee@faculty.nsysu.edu.tw","Chen et al. (2008), doi:10.4319/lo.2008.53.5.1705",Epifluorescence Microscopy ,2009-05-19,21.92,121.40,0,,,0.4890,30,14.670,,,,,,,,,,,14.670,,,0.039,0.052,,,
"Chen, Y.L., National Sun Yat-sen University, yllee@faculty.nsysu.edu.tw","Chen et al. (2008), doi:10.4319/lo.2008.53.5.1705",Epifluorescence Microscopy ,2008-09-08,21.92,122.17,0,,,1.1230,30,33.690,,,,,,,,,,,33.690,,,0.008,0.013,,,
"Chen, Y.L., National Sun Yat-sen University, yllee@faculty.nsysu.edu.tw","Chen et al. (2008), doi:10.4319/lo.2008.53.5.1705",Epifluorescence Microscopy ,2007-07-09,21.92,121.40,0,,,0.6730,30,20.190,,,,,,,,,,,20.190,,,0.011,0.022,,,
,"Dugdale et al. (1961), doi:10.1016/0146-6313(61)90051-X",Standard Light Microscopy,1960-01-15,32.17,-64.50,0,0.000,,0.0000,30,0.000,,,,,,,,,,,0.000,,,,,,,"Not accurate sampling dates, just include 0 values to represent what the authors stated: Trichodesmium ""rate or absent"" before July 11 and after Oct25"
,"Dugdale et al. (1961), doi:10.1016/0146-6313(61)90051-X",Standard Light Microscopy,1960-02-15,32.17,-64.50,0,0.000,,0.0000,30,0.000,,,,,,,,,,,0.000,,,,,,,"Not accurate sampling dates, just include 0 values to represent what the authors stated: Trichodesmium ""rate or absent"" before July 11 and after Oct25"
,"Dugdale et al. (1961), doi:10.1016/0146-6313(61)90051-X",Standard Light Microscopy,1960-03-15,32.17,-64.50,0,0.000,,0.0000,30,0.000,,,,,,,,,,,0.000,,,,,,,"Not accurate sampling dates, just include 0 values to represent what the authors stated: Trichodesmium ""rate or absent"" before July 11 and after Oct25"
,"Dugdale et al. (1961), doi:10.1016/0146-6313(61)90051-X",Standard Light Microscopy,1960-04-15,32.17,-64.50,0,0.000,,0.0000,30,0.000,,,,,,,,,,,0.000,,,,,,,"Not accurate sampling dates, just include 0 values to represent what the authors stated: Trichodesmium ""rate or absent"" before July 11 and after Oct25"
,"Dugdale et al. (1961), doi:10.1016/0146-6313(61)90051-X",Standard Light Microscopy,1960-05-15,32.17,-64.50,0,0.000,,0.0000,30,0.000,,,,,,,,,,,0.000,,,,,,,"Not accurate sampling dates, just include 0 values to represent what the authors stated: Trichodesmium ""rate or absent"" before July 11 and after Oct25"
,"Dugdale et al. (1961), doi:10.1016/0146-6313(61)90051-X",Standard Light Microscopy,1960-06-15,32.17,-64.50,0,0.000,,0.0000,30,0.000,,,,,,,,,,,0.000,,,,,,,"Not accurate sampling dates, just include 0 values to represent what the authors stated: Trichodesmium ""rate or absent"" before July 11 and after Oct25"
,"Dugdale et al. (1961), doi:10.1016/0146-6313(61)90051-X",Standard Light Microscopy,1960-07-11,32.17,-64.50,0,0.001,,0.0002,30,0.005,,,,,,,,,,,0.005,,,,,,,
,"Dugdale et al. (1961), doi:10.1016/0146-6313(61)90051-X",Standard Light Microscopy,1960-07-27,32.17,-64.50,0,0.002,,0.0005,30,0.014,,,,,,,,,,,0.014,,,,,,,
,"Dugdale et al. (1961), doi:10.1016/0146-6313(61)90051-X",Standard Light Microscopy,1960-08-12,32.17,-64.50,0,0.004,,0.0009,30,0.026,,,,,,,,,,,0.026,,,,,,,
,"Dugdale et al. (1961), doi:10.1016/0146-6313(61)90051-X",Standard Light Microscopy,1960-08-29,32.17,-64.50,0,0.003,,0.0005,30,0.015,,,,,,,,,,,0.015,,,,,,,
,"Dugdale et al. (1961), doi:10.1016/0146-6313(61)90051-X",Standard Light Microscopy,1960-09-15,32.17,-64.50,0,0.007,,0.0013,30,0.040,,,,,,,,,,,0.040,,,,,,,
,"Dugdale et al. (1961), doi:10.1016/0146-6313(61)90051-X",Standard Light Microscopy,1960-10-07,32.17,-64.50,0,0.024,,0.0047,30,0.141,,,,,,,,,,,0.141,,,,,,,
,"Dugdale et al. (1961), doi:10.1016/0146-6313(61)90051-X",Standard Light Microscopy,1960-10-25,32.17,-64.50,0,0.002,,0.0003,30,0.010,,,,,,,,,,,0.010,,,,,,,
,"Dugdale et al. (1961), doi:10.1016/0146-6313(61)90051-X",Standard Light Microscopy,1960-11-15,32.17,-64.50,0,0.000,,0.0000,30,0.000,,,,,,,,,,,0.000,,,,,,,"Not accurate sampling dates, just include 0 values to represent what the authors stated: Trichodesmium ""rate or absent"" before July 11 and after Oct25"
,"Dugdale et al. (1961), doi:10.1016/0146-6313(61)90051-X",Standard Light Microscopy,1960-12-15,32.17,-64.50,0,0.000,,0.0000,30,0.000,,,,,,,,,,,0.000,,,,,,,"Not accurate sampling dates, just include 0 values to represent what the authors stated: Trichodesmium ""rate or absent"" before July 11 and after Oct25"
"Fernández, A., Dpto Ecoloxía e Bioloxía Animal, Universidade de Vigo, E-36310 Vigo, Spain, afcarrera@uvigo.es","Fernández et al. (2010), doi:10.5194/bg-7-3167-2010; Mouriño-Carballido et al. (2011), doi:10.4319/lo.2011.56.3.0999",Standard Light Microscopy,2007-11-17,26.64,-17.49,5,,0.0005,0.0005,30,0.014,,,,,,,,,,,0.014,22.85,36.89,0.040,0.020,,0.20,
"Fernández, A., Dpto Ecoloxía e Bioloxía Animal, Universidade de Vigo, E-36310 Vigo, Spain, afcarrera@uvigo.es","Fernández et al. (2010), doi:10.5194/bg-7-3167-2010; Mouriño-Carballido et al. (2011), doi:10.4319/lo.2011.56.3.0999",Standard Light Microscopy,2007-11-18,26.00,-21.38,5,,0.0005,0.0005,30,0.014,,,,,,,,,,,0.014,24.00,37.25,0.100,0.020,,0.18,
"Fernández, A., Dpto Ecoloxía e Bioloxía Animal, Universidade de Vigo, E-36310 Vigo, Spain, afcarrera@uvigo.es","Fernández et al. (2010), doi:10.5194/bg-7-3167-2010; Mouriño-Carballido et al. (2011), doi:10.4319/lo.2011.56.3.0999",Standard Light Microscopy,2007-11-19,26.00,-25.73,5,,0.0004,0.0004,30,0.011,,,,,,,,,,,0.011,24.47,37.28,0.120,0.020,,0.19,
"Fernández, A., Dpto Ecoloxía e Bioloxía Animal, Universidade de Vigo, E-36310 Vigo, Spain, afcarrera@uvigo.es","Fernández et al. (2010), doi:10.5194/bg-7-3167-2010; Mouriño-Carballido et al. (2011), doi:10.4319/lo.2011.56.3.0999",Standard Light Microscopy,2007-11-20,26.00,-29.83,5,,0.0026,0.0026,30,0.078,,,,,,,,,,,0.078,24.58,37.45,0.100,0.020,,0.12,
"Fernández, A., Dpto Ecoloxía e Bioloxía Animal, Universidade de Vigo, E-36310 Vigo, Spain, afcarrera@uvigo.es","Fernández et al. (2010), doi:10.5194/bg-7-3167-2010; Mouriño-Carballido et al. (2011), doi:10.4319/lo.2011.56.3.0999",Standard Light Microscopy,2007-11-21,25.99,-34.12,5,,0.0073,0.0073,30,0.220,,,,,,,,,,,0.220,24.62,37.57,0.032,0.020,,0.12,
"Fernández, A., Dpto Ecoloxía e Bioloxía Animal, Universidade de Vigo, E-36310 Vigo, Spain, afcarrera@uvigo.es","Fernández et al. (2010), doi:10.5194/bg-7-3167-2010; Mouriño-Carballido et al. (2011), doi:10.4319/lo.2011.56.3.0999",Standard Light Microscopy,2007-11-22,26.00,-38.27,5,,0.0069,0.0069,30,0.206,,,,,,,,,,,0.206,25.24,37.42,0.070,0.030,,0.12,
"Fernández, A., Dpto Ecoloxía e Bioloxía Animal, Universidade de Vigo, E-36310 Vigo, Spain, afcarrera@uvigo.es","Fernández et al. (2010), doi:10.5194/bg-7-3167-2010; Mouriño-Carballido et al. (2011), doi:10.4319/lo.2011.56.3.0999",Standard Light Microscopy,2007-11-23,23.44,-34.91,5,,0.0353,0.0353,30,1.060,,,,,,,,,,,1.060,26.03,37.63,0.125,0.050,,0.15,
"Fernández, A., Dpto Ecoloxía e Bioloxía Animal, Universidade de Vigo, E-36310 Vigo, Spain, afcarrera@uvigo.es","Fernández et al. (2010), doi:10.5194/bg-7-3167-2010; Mouriño-Carballido et al. (2011), doi:10.4319/lo.2011.56.3.0999",Standard Light Microscopy,2007-11-24,20.92,-31.69,5,,0.0422,0.0422,30,1.265,,,,,,,,,,,1.265,25.65,37.15,0.063,0.020,,0.18,
"Fernández, A., Dpto Ecoloxía e Bioloxía Animal, Universidade de Vigo, E-36310 Vigo, Spain, afcarrera@uvigo.es","Fernández et al. (2010), doi:10.5194/bg-7-3167-2010; Mouriño-Carballido et al. (2011), doi:10.4319/lo.2011.56.3.0999",Standard Light Microscopy,2007-11-25,18.41,-29.09,5,,0.0486,0.0486,30,1.459,,,,,,,,,,,1.459,25.83,36.73,0.116,0.040,,0.20,
"Fernández, A., Dpto Ecoloxía e Bioloxía Animal, Universidade de Vigo, E-36310 Vigo, Spain, afcarrera@uvigo.es","Fernández et al. (2010), doi:10.5194/bg-7-3167-2010; Mouriño-Carballido et al. (2011), doi:10.4319/lo.2011.56.3.0999",Standard Light Microscopy,2007-11-26,14.43,-28.71,5,,0.1180,0.1180,30,3.541,,,,,,,,,,,3.541,26.32,36.31,0.044,0.040,,0.23,
"Fernández, A., Dpto Ecoloxía e Bioloxía Animal, Universidade de Vigo, E-36310 Vigo, Spain, afcarrera@uvigo.es","Fernández et al. (2010), doi:10.5194/bg-7-3167-2010; Mouriño-Carballido et al. (2011), doi:10.4319/lo.2011.56.3.0999",Standard Light Microscopy,2007-11-27,11.17,-28.00,5,,0.0322,0.0322,30,0.967,,,,,,,,,,,0.967,27.24,35.24,0.102,0.030,,0.29,
"Fernández, A., Dpto Ecoloxía e Bioloxía Animal, Universidade de Vigo, E-36310 Vigo, Spain, afcarrera@uvigo.es","Fernández et al. (2010), doi:10.5194/bg-7-3167-2010; Mouriño-Carballido et al. (2011), doi:10.4319/lo.2011.56.3.0999",Standard Light Microscopy,2007-11-28,7.40,-29.00,5,,0.2454,0.2454,30,7.363,,,,,,,,,,,7.363,27.76,35.39,0.184,0.020,,0.22,
"Fernández, A., Dpto Ecoloxía e Bioloxía Animal, Universidade de Vigo, E-36310 Vigo, Spain, afcarrera@uvigo.es","Fernández et al. (2010), doi:10.5194/bg-7-3167-2010; Mouriño-Carballido et al. (2011), doi:10.4319/lo.2011.56.3.0999",Standard Light Microscopy,2007-11-29,3.29,-29.02,5,,0.7224,0.7224,30,21.673,,,,,,,,,,,21.673,27.81,35.04,0.117,,,0.20,
"Fernández, A., Dpto Ecoloxía e Bioloxía Animal, Universidade de Vigo, E-36310 Vigo, Spain, afcarrera@uvigo.es","Fernández et al. (2010), doi:10.5194/bg-7-3167-2010; Mouriño-Carballido et al. (2011), doi:10.4319/lo.2011.56.3.0999",Standard Light Microscopy,2007-11-30,-0.33,-29.00,5,,0.1589,0.1589,30,4.766,,,,,,,,,,,4.766,26.92,36.37,0.095,0.040,,0.17,
"Fernández, A., Dpto Ecoloxía e Bioloxía Animal, Universidade de Vigo, E-36310 Vigo, Spain, afcarrera@uvigo.es","Fernández et al. (2010), doi:10.5194/bg-7-3167-2010; Mouriño-Carballido et al. (2011), doi:10.4319/lo.2011.56.3.0999",Standard Light Microscopy,2007-12-01,-4.67,-29.00,5,,0.0022,0.0022,30,0.066,,,,,,,,,,,0.066,26.65,36.13,0.114,0.120,,0.15,
"Fernández, A., Dpto Ecoloxía e Bioloxía Animal, Universidade de Vigo, E-36310 Vigo, Spain, afcarrera@uvigo.es","Fernández et al. (2010), doi:10.5194/bg-7-3167-2010; Mouriño-Carballido et al. (2011), doi:10.4319/lo.2011.56.3.0999",Standard Light Microscopy,2007-12-02,-8.58,-29.00,5,,0.0016,0.0016,30,0.048,,,,,,,,,,,0.048,26.66,36.29,0.112,0.100,,0.11,
"Fernández, A., Dpto Ecoloxía e Bioloxía Animal, Universidade de Vigo, E-36310 Vigo, Spain, afcarrera@uvigo.es","Fernández et al. (2010), doi:10.5194/bg-7-3167-2010; Mouriño-Carballido et al. (2011), doi:10.4319/lo.2011.56.3.0999",Standard Light Microscopy,2007-12-03,-12.35,-29.02,5,,0.0000,0.0000,30,0.000,,,,,,,,,,,0.000,25.55,36.95,0.124,0.070,,,
"Fernández, A., Dpto Ecoloxía e Bioloxía Animal, Universidade de Vigo, E-36310 Vigo, Spain, afcarrera@uvigo.es","Fernández et al. (2010), doi:10.5194/bg-7-3167-2010; Mouriño-Carballido et al. (2011), doi:10.4319/lo.2011.56.3.0999",Standard Light Microscopy,2007-12-04,-16.58,-29.00,5,,0.0000,0.0000,30,0.000,,,,,,,,,,,0.000,24.88,37.29,0.105,0.110,,0.08,
"Fernández, A., Dpto Ecoloxía e Bioloxía Animal, Universidade de Vigo, E-36310 Vigo, Spain, afcarrera@uvigo.es","Fernández et al. (2010), doi:10.5194/bg-7-3167-2010; Mouriño-Carballido et al. (2011), doi:10.4319/lo.2011.56.3.0999",Standard Light Microscopy,2007-12-05,-20.69,-29.24,5,,0.0005,0.0005,30,0.014,,,,,,,,,,,0.014,24.63,37.11,,0.170,,0.10,
"Fernández, A., Dpto Ecoloxía e Bioloxía Animal, Universidade de Vigo, E-36310 Vigo, Spain, afcarrera@uvigo.es","Fernández et al. (2010), doi:10.5194/bg-7-3167-2010; Mouriño-Carballido et al. (2011), doi:10.4319/lo.2011.56.3.0999",Standard Light Microscopy,2007-12-06,-24.92,-29.00,5,,0.0000,0.0000,30,0.000,,,,,,,,,,,0.000,23.63,36.36,0.116,0.040,,0.13,
"Fernández, A., Dpto Ecoloxía e Bioloxía Animal, Universidade de Vigo, E-36310 Vigo, Spain, afcarrera@uvigo.es","Fernández et al. (2010), doi:10.5194/bg-7-3167-2010; Mouriño-Carballido et al. (2011), doi:10.4319/lo.2011.56.3.0999",Standard Light Microscopy,2007-12-07,-29.10,-29.00,5,,0.0000,0.0000,30,0.000,,,,,,,,,,,0.000,21.87,35.85,0.113,0.080,,0.13,
"Fernández, A., Dpto Ecoloxía e Bioloxía Animal, Universidade de Vigo, E-36310 Vigo, Spain, afcarrera@uvigo.es","Fernández et al. (2010), doi:10.5194/bg-7-3167-2010; Mouriño-Carballido et al. (2011), doi:10.4319/lo.2011.56.3.0999",Standard Light Microscopy,2007-12-08,-33.04,-28.96,5,,0.0005,0.0005,30,0.014,,,,,,,,,,,0.014,19.36,35.56,0.111,0.120,,0.10,
"Fernández, A., Dpto Ecoloxía e Bioloxía Animal, Universidade de Vigo, E-36310 Vigo, Spain, afcarrera@uvigo.es","Fernández et al. (2010), doi:10.5194/bg-7-3167-2010; Mouriño-Carballido et al. (2011), doi:10.4319/lo.2011.56.3.0999",Standard Light Microscopy,2008-04-13,-29.09,-33.52,5,,0.0011,0.0011,30,0.034,,,,,,,,,,,0.034,22.12,35.99,,,,0.15,
"Fernández, A., Dpto Ecoloxía e Bioloxía Animal, Universidade de Vigo, E-36310 Vigo, Spain, afcarrera@uvigo.es","Fernández et al. (2010), doi:10.5194/bg-7-3167-2010; Mouriño-Carballido et al. (2011), doi:10.4319/lo.2011.56.3.0999",Standard Light Microscopy,2008-04-14,-26.37,-31.40,5,,0.0034,0.0034,30,0.102,,,,,,,,,,,0.102,24.72,36.54,0.027,0.110,,0.12,
"Fernández, A., Dpto Ecoloxía e Bioloxía Animal, Universidade de Vigo, E-36310 Vigo, Spain, afcarrera@uvigo.es","Fernández et al. (2010), doi:10.5194/bg-7-3167-2010; Mouriño-Carballido et al. (2011), doi:10.4319/lo.2011.56.3.0999",Standard Light Microscopy,2008-04-15,-23.56,-29.25,5,,0.0000,0.0000,30,0.000,,,,,,,,,,,0.000,26.65,36.86,0.034,0.170,,0.11,
"Fernández, A., Dpto Ecoloxía e Bioloxía Animal, Universidade de Vigo, E-36310 Vigo, Spain, afcarrera@uvigo.es","Fernández et al. (2010), doi:10.5194/bg-7-3167-2010; Mouriño-Carballido et al. (2011), doi:10.4319/lo.2011.56.3.0999",Standard Light Microscopy,2008-04-16,-19.68,-29.12,5,,0.0022,0.0022,30,0.066,,,,,,,,,,,0.066,27.96,37.24,0.027,0.100,,0.11,
"Fernández, A., Dpto Ecoloxía e Bioloxía Animal, Universidade de Vigo, E-36310 Vigo, Spain, afcarrera@uvigo.es","Fernández et al. (2010), doi:10.5194/bg-7-3167-2010; Mouriño-Carballido et al. (2011), doi:10.4319/lo.2011.56.3.0999",Standard Light Microscopy,2008-04-17,-15.39,-29.00,5,,0.0000,0.0000,30,0.000,,,,,,,,,,,0.000,27.88,37.32,0.034,0.130,,0.11,
"Fernández, A., Dpto Ecoloxía e Bioloxía Animal, Universidade de Vigo, E-36310 Vigo, Spain, afcarrera@uvigo.es","Fernández et al. (2010), doi:10.5194/bg-7-3167-2010; Mouriño-Carballido et al. (2011), doi:10.4319/lo.2011.56.3.0999",Standard Light Microscopy,2008-04-18,-12.95,-29.00,5,,0.0000,0.0000,30,0.000,,,,,,,,,,,0.000,28.19,36.91,0.034,0.060,,0.11,
"Fernández, A., Dpto Ecoloxía e Bioloxía Animal, Universidade de Vigo, E-36310 Vigo, Spain, afcarrera@uvigo.es","Fernández et al. (2010), doi:10.5194/bg-7-3167-2010; Mouriño-Carballido et al. (2011), doi:10.4319/lo.2011.56.3.0999",Standard Light Microscopy,2008-04-19,-8.91,-29.00,5,,0.0165,0.0165,30,0.496,,,,,,,,,,,0.496,28.78,36.42,0.025,0.090,,0.12,
"Fernández, A., Dpto Ecoloxía e Bioloxía Animal, Universidade de Vigo, E-36310 Vigo, Spain, afcarrera@uvigo.es","Fernández et al. (2010), doi:10.5194/bg-7-3167-2010; Mouriño-Carballido et al. (2011), doi:10.4319/lo.2011.56.3.0999",Standard Light Microscopy,2008-04-20,-4.86,-29.01,5,,0.0651,0.0651,30,1.952,,,,,,,,,,,1.952,28.64,35.60,0.021,0.050,,0.15,
"Fernández, A., Dpto Ecoloxía e Bioloxía Animal, Universidade de Vigo, E-36310 Vigo, Spain, afcarrera@uvigo.es","Fernández et al. (2010), doi:10.5194/bg-7-3167-2010; Mouriño-Carballido et al. (2011), doi:10.4319/lo.2011.56.3.0999",Standard Light Microscopy,2008-04-21,-0.77,-29.00,5,,0.2327,0.2327,30,6.980,,,,,,,,,,,6.980,28.85,35.59,0.035,,,0.19,
"Fernández, A., Dpto Ecoloxía e Bioloxía Animal, Universidade de Vigo, E-36310 Vigo, Spain, afcarrera@uvigo.es","Fernández et al. (2010), doi:10.5194/bg-7-3167-2010; Mouriño-Carballido et al. (2011), doi:10.4319/lo.2011.56.3.0999",Standard Light Microscopy,2008-04-22,2.23,-29.00,5,,0.2267,0.2267,30,6.800,,,,,,,,,,,6.800,28.35,35.84,0.024,,,0.23,
"Fernández, A., Dpto Ecoloxía e Bioloxía Animal, Universidade de Vigo, E-36310 Vigo, Spain, afcarrera@uvigo.es","Fernández et al. (2010), doi:10.5194/bg-7-3167-2010; Mouriño-Carballido et al. (2011), doi:10.4319/lo.2011.56.3.0999",Standard Light Microscopy,2008-04-23,5.98,-29.00,5,,0.2709,0.2709,30,8.126,,,,,,,,,,,8.126,27.76,35.61,0.022,,,0.18,
"Fernández, A., Dpto Ecoloxía e Bioloxía Animal, Universidade de Vigo, E-36310 Vigo, Spain, afcarrera@uvigo.es","Fernández et al. (2010), doi:10.5194/bg-7-3167-2010; Mouriño-Carballido et al. (2011), doi:10.4319/lo.2011.56.3.0999",Standard Light Microscopy,2008-04-24,9.98,-29.00,5,,0.2082,0.2082,30,6.246,,,,,,,,,,,6.246,26.43,36.08,0.012,,,0.20,
"Fernández, A., Dpto Ecoloxía e Bioloxía Animal, Universidade de Vigo, E-36310 Vigo, Spain, afcarrera@uvigo.es","Fernández et al. (2010), doi:10.5194/bg-7-3167-2010; Mouriño-Carballido et al. (2011), doi:10.4319/lo.2011.56.3.0999",Standard Light Microscopy,2008-04-25,13.91,-29.01,5,,0.1121,0.1121,30,3.362,,,,,,,,,,,3.362,24.76,36.10,0.056,0.020,,0.22,
