SOURCE: Related article or authors,METHODS:                  Sampling/Analysis,DATE (yyyy-mm-dd),LATITUDE,LONGITUDE,DEPTH (m),Trichodesmium nifH Gene (x106 copies m-3),UCYN-A1 nifH Gene (x106 copies m-3),UCYN-A2/A3/A4 nifH Gene (x106 copies m-3),Total UCYN-A nifH Gene (x106 copies m-3),UCYN-B nifH Gene (x106 copies m-3),UCYN-C nifH Gene (x106 copies m-3),Richelia Associated Species,Total Richelia (het-1 +het-2) nifH Gene (x106 copies m-3),Richelia  (het-1 or RintRC02) nifH Gene (x106 copies m-3),Richelia  (het-2 or ReuHH01) nifH Gene (x106 copies m-3),Richelia  ( RrhiSC01) nifH Gene (x106 copies m-3),Temperature (˚C),Salinity (PSU),Nitrate (µM),Phosphate (µM),Fe (nM),SiO2 (µM),Chlorophyll  (mg m-3),Notes
,qPCR,8/26/2009,42.00 ,-66.80 ,2.0 ,0.000 ,430.00 ,,430.00 ,,,Hemiaulus,0.010 ,,0.010 ,,,,,,,,,"Cruise in Aug, 2009, exact dates unknown"
,qPCR,8/26/2009,42.18 ,-69.28 ,2.0 ,0.001 ,850.00 ,,850.00 ,,,,0.000 ,,,,,,,,,,,"Cruise in Aug, 2009, exact dates unknown"
"Orcutt, K.M., University of Southern Mississippi, karen.orcutt@usm.edu; Gundersen, K., University of Southern Mississippi, kjell.gundersen@usm.edu",qPCR,8/20/2008,30.30 ,-89.26 ,1.0 ,,,,,10300.000 ,,,,,,,,,,,,,,"size fraction 2-10 um. No group id provided, assigned to Group B according to size"
,qPCR,10/21/2008,30.30 ,-89.26 ,1.0 ,,,,,2630.000 ,,,,,,,,,,,,,,"size fraction 2-10 um. No group id provided, assigned to Group B according to size"
,qPCR,1/29/2009,30.30 ,-89.26 ,1.0 ,,,,,13354.839 ,,,,,,,,,,,,,,"size fraction 2-10 um. No group id provided, assigned to Group B according to size"
,qPCR,2/17/2009,30.30 ,-89.26 ,1.0 ,,,,,7660.000 ,,,,,,,,,,,,,,"size fraction 2-10 um. No group id provided, assigned to Group B according to size"
,qPCR,3/10/2009,30.30 ,-89.26 ,1.0 ,,,,,4915.942 ,,,,,,,,,,,,,,"size fraction 2-10 um. No group id provided, assigned to Group B according to size"
,qPCR,4/14/2009,30.30 ,-89.26 ,1.0 ,,,,,21500.000 ,,,,,,,,,,,,,,"size fraction 2-10 um. No group id provided, assigned to Group B according to size"
,qPCR,5/12/2009,30.30 ,-89.26 ,1.0 ,,,,,15400.000 ,,,,,,,,,,,,,,"size fraction 2-10 um. No group id provided, assigned to Group B according to size"
,qPCR,5/26/2009,30.30 ,-89.26 ,1.0 ,,,,,23111.111 ,,,,,,,,,,,,,,"size fraction 2-10 um. No group id provided, assigned to Group B according to size"
,qPCR,6/6/2009,30.30 ,-89.26 ,1.0 ,,,,,10846.154 ,,,,,,,,,,,,,,"size fraction >10 um. No group id provided, assigned to Group B according to size. The >10um fraction is mostly clusters of single cell cyanos, since we do not see many filaments of any kind in these waters."
,qPCR,6/9/2009,30.30 ,-89.26 ,1.0 ,,,,,898000.000 ,,,,,,,,,,,,,,"REJECTED by Quality Control using Chauvenet’s criterion. Size fraction 2-10 um. No group id provided, assigned to Group B according to size"
,qPCR,6/23/2009,30.30 ,-89.26 ,1.0 ,,,,,217800.000 ,,,,,,,,,,,,,,"REJECTED by Quality Control using Chauvenet’s criterion. Size fractions 2-10 um and >10 um. No group id provided, assigned to Group B according to size. The >10um fraction is mostly clusters of single cell cyanos, since we do not see many filaments of any kind in these waters."
,qPCR,7/13/2009,30.30 ,-89.26 ,1.0 ,,,,,265744.444 ,,,,,,,,,,,,,,"REJECTED by Quality Control using Chauvenet’s criterion. Size fractions 2-10 um and >10 um. No group id provided, assigned to Group B according to size. The >10um fraction is mostly clusters of single cell cyanos, since we do not see many filaments of any kind in these waters."
,qPCR,7/27/2009,30.30 ,-89.26 ,1.0 ,,,,,11860.000 ,,,,,,,,,,,,,,"Size fractions 2-10 um and >10 um. No group id provided, assigned to Group B according to size. The >10um fraction is mostly clusters of single cell cyanos, since we do not see many filaments of any kind in these waters."
,qPCR,8/17/2009,30.30 ,-89.26 ,1.0 ,,,,,13806.443 ,,,,,,,,,,,,,,"Size fractions 2-10 um and >10 um. No group id provided, assigned to Group B according to size. The >10um fraction is mostly clusters of single cell cyanos, since we do not see many filaments of any kind in these waters."
,qPCR,9/28/2009,30.30 ,-89.26 ,1.0 ,,,,,34069.841 ,,,,,,,,,,,,,,"Size fractions 2-10 um and >10 um. No group id provided, assigned to Group B according to size. The >10um fraction is mostly clusters of single cell cyanos, since we do not see many filaments of any kind in these waters."
,qPCR,10/19/2009,30.30 ,-89.26 ,1.0 ,,,,,5211.094 ,,,,,,,,,,,,,,"Size fractions 2-10 um and >10 um. No group id provided, assigned to Group B according to size. The >10um fraction is mostly clusters of single cell cyanos, since we do not see many filaments of any kind in these waters."
,qPCR,11/16/2009,30.30 ,-89.26 ,1.0 ,,,,,7751.111 ,,,,,,,,,,,,,,"Size fractions 2-10 um and >10 um. No group id provided, assigned to Group B according to size. The >10um fraction is mostly clusters of single cell cyanos, since we do not see many filaments of any kind in these waters."
,qPCR,12/14/2009,30.30 ,-89.26 ,1.0 ,,,,,12931.111 ,,,,,,,,,,,,,,"Size fractions 2-10 um and >10 um. No group id provided, assigned to Group B according to size. The >10um fraction is mostly clusters of single cell cyanos, since we do not see many filaments of any kind in these waters."
"Turk et al. (2011), doi:10.1038/ismej.2010.205",qPCR,11/17/2007,17.72 ,-22.74 ,5.0 ,0.000 ,130.00 ,,130.00 ,0.010 ,,Rhizosolenia,0.880 ,0.880 ,,,36.80 ,0.01 ,0.05 ,1.51 ,0.10 ,,,
,qPCR,11/22/2007,16.89 ,-24.83 ,5.0 ,4.900 ,10.00 ,,10.00 ,0.000 ,,,0.000 ,,,,36.70 ,0.05 ,0.09 ,0.58 ,0.33 ,,,
,qPCR,11/22/2007,16.89 ,-24.83 ,5.0 ,0.000 ,1.40 ,,1.40 ,0.000 ,,"Hemiaulus, Rhizosolenia",0.010 ,,,,36.80 ,0.06 ,0.10 ,,0.38 ,,,
,qPCR,11/22/2007,16.89 ,-24.83 ,50.0 ,0.520 ,1.90 ,,1.90 ,0.010 ,,Hemiaulus,2.200 ,,2.200 ,,36.80 ,4.12 ,0.33 ,,,,,
,qPCR,11/28/2007,16.01 ,-23.66 ,5.0 ,0.630 ,0.00 ,,0.00 ,0.000 ,,"Hemiaulus, Rhizosolenia",0.861 ,,,,36.80 ,0.12 ,0.06 ,0.32 ,0.19 ,,,
,qPCR,11/28/2007,16.02 ,-23.73 ,5.0 ,0.900 ,0.00 ,,0.00 ,0.000 ,,"Hemiaulus, Rhizosolenia",1.101 ,,,,36.50 ,0.06 ,0.06 ,,0.22 ,,,
,qPCR,11/28/2007,16.02 ,-23.74 ,5.0 ,2.500 ,0.00 ,,0.00 ,0.000 ,,"Hemiaulus, Rhizosolenia",1.001 ,,,,36.50 ,0.06 ,0.06 ,0.32 ,,,,
,qPCR,11/28/2007,16.03 ,-23.76 ,5.0 ,0.000 ,0.00 ,,0.00 ,0.000 ,,,0.000 ,,,,36.40 ,0.05 ,0.04 ,,,,,
,qPCR,11/28/2007,16.04 ,-23.78 ,5.0 ,0.010 ,0.00 ,,0.00 ,0.000 ,,,0.000 ,,,,36.50 ,0.05 ,0.04 ,,,,,
,qPCR,11/28/2007,16.03 ,-23.78 ,5.0 ,0.000 ,0.00 ,,0.00 ,0.000 ,,,,,,,36.50 ,0.05 ,0.04 ,,,,,
,qPCR,11/28/2007,16.02 ,-23.77 ,5.0 ,0.000 ,0.00 ,,0.00 ,0.000 ,,Rhizosolenia,0.010 ,0.010 ,,,36.50 ,0.05 ,0.04 ,,,,,
,qPCR,12/2/2007,17.72 ,-22.95 ,5.0 ,0.000 ,41.00 ,,41.00 ,0.000 ,,Rhizosolenia,0.010 ,0.010 ,,,36.80 ,0.01 ,0.08 ,0.30 ,0.12 ,,,
,qPCR,12/2/2007,17.78 ,-22.96 ,5.0 ,0.010 ,73.00 ,,73.00 ,1.500 ,,Rhizosolenia,0.010 ,0.010 ,,,36.80 ,0.01 ,0.12 ,,,,,
,qPCR,12/2/2007,17.79 ,-22.97 ,5.0 ,0.000 ,16.00 ,,16.00 ,0.000 ,,,,,,,36.80 ,0.01 ,0.12 ,,,,,
,qPCR,12/2/2007,17.80 ,-23.00 ,5.0 ,0.000 ,0.0010 ,,0.0010 ,0.000 ,,Rhizosolenia,0.010 ,0.010 ,,,36.80 ,0.01 ,0.12 ,,,,,
,qPCR,12/2/2007,17.81 ,-23.05 ,5.0 ,0.000 ,4.50 ,,4.50 ,0.000 ,,Rhizosolenia,0.010 ,0.010 ,,,36.90 ,0.01 ,0.12 ,,,,,
,qPCR,12/2/2007,17.81 ,-23.09 ,5.0 ,0.000 ,0.0010 ,,0.0010 ,0.000 ,,Rhizosolenia,1.000 ,1.000 ,,,36.90 ,0.01 ,0.14 ,,,,,
,qPCR,12/7/2007,20.65 ,-24.96 ,5.0 ,0.010 ,76.00 ,,76.00 ,0.000 ,,,0.000 ,,,,36.90 ,0.01 ,0.06 ,0.35 ,0.08 ,,,
,qPCR,12/7/2007,20.85 ,-25.01 ,5.0 ,0.950 ,45.00 ,,45.00 ,0.000 ,,Rhizosolenia,0.010 ,0.010 ,,,37.00 ,0.01 ,0.05 ,,,,,
,qPCR,12/7/2007,20.94 ,-25.04 ,5.0 ,0.010 ,24.00 ,,24.00 ,0.000 ,,,0.000 ,,,,36.90 ,0.01 ,0.05 ,,,,,
,qPCR,12/7/2007,20.98 ,-25.05 ,5.0 ,0.000 ,3.40 ,,3.40 ,0.010 ,,,0.000 ,,,,36.90 ,0.01 ,0.05 ,,,,,
,qPCR,12/7/2007,21.04 ,-25.05 ,5.0 ,0.000 ,44.00 ,,44.00 ,0.000 ,,Rhizosolenia,0.010 ,0.010 ,,,36.90 ,0.01 ,0.05 ,,,,,
,qPCR,12/8/2007,21.08 ,-25.05 ,5.0 ,0.000 ,120.00 ,,120.00 ,0.000 ,,,0.000 ,,,,36.90 ,0.01 ,0.05 ,,,,,
,qPCR,12/12/2007,26.05 ,-23.99 ,5.0 ,0.010 ,0.0010 ,,0.0010 ,0.000 ,,Rhizosolenia,0.010 ,0.010 ,,,37.40 ,0.01 ,0.01 ,0.54 ,0.06 ,,,
,qPCR,12/12/2007,26.05 ,-23.98 ,5.0 ,1.200 ,0.0010 ,,0.0010 ,0.000 ,,"Hemiaulus, Rhizosolenia",1.600 ,,,,37.30 ,0.01 ,0.01 ,,,,,
,qPCR,12/12/2007,26.07 ,-23.99 ,5.0 ,0.010 ,0.00 ,,0.00 ,0.010 ,,"Hemiaulus, Rhizosolenia",0.010 ,,,,37.30 ,0.01 ,0.01 ,,,,,
,qPCR,12/12/2007,26.09 ,-24.01 ,5.0 ,0.010 ,0.0010 ,,0.0010 ,1.400 ,,"Hemiaulus, Rhizosolenia",0.010 ,,,,37.30 ,0.01 ,0.01 ,,,,,
,qPCR,12/12/2007,26.08 ,-24.00 ,5.0 ,0.000 ,0.0010 ,,0.0010 ,0.000 ,,"Hemiaulus, Rhizosolenia",0.950 ,,,,37.30 ,0.01 ,0.01 ,,,,,
,qPCR,12/13/2007,26.10 ,-23.99 ,5.0 ,0.010 ,0.68 ,,0.68 ,0.000 ,,"Hemiaulus, Rhizosolenia",3.200 ,,,,37.30 ,0.01 ,0.01 ,,,,,
"Goebel et al. (2010), doi:10.1111/j.1462-2920.2010.02303.x",qPCR,2006-06-22,18.39 ,-67.89 ,5.0 ,44.19 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",2.24 ,,,,28.76,36.42,,,,,,
,qPCR,2006-06-22,18.39 ,-67.89 ,15.0 ,14.71 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.79 ,,,,28.58,36.41,,,,,,
,qPCR,2006-06-22,18.39 ,-67.89 ,30.0 ,0.00 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.70 ,,,,28.47,36.42,,,,,,
,qPCR,2006-06-22,18.39 ,-67.89 ,60.0 ,0.00 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.17 ,,,,25.87,36.51,,,,,,
,qPCR,2006-06-22,18.39 ,-67.89 ,75.0 ,1.09 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,25.65,36.53,,,,,,
,qPCR,2006-06-22,18.39 ,-67.89 ,90.0 ,0.13 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,25.26,36.63,,,,,,
,qPCR,2006-06-22,18.39 ,-67.89 ,200.0 ,0.00 ,0.00 ,,0.00 ,0.01 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,21.37,36.93,,,,,,
,qPCR,2006-06-23,16.39 ,-65.13 ,5.0 ,1776.89 ,6.18 ,,6.18 ,0.19 ,,"Hemiaulus, Rhizosolenia",1.74 ,,,,28.17,36.00,,,,,,
,qPCR,2006-06-23,16.39 ,-65.13 ,60.0 ,14.92 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",1.36 ,,,,25.34,36.60,,,,,,
,qPCR,2006-06-23,16.39 ,-65.13 ,150.0 ,0.00 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,19.43,36.64,,,,,,
,qPCR,2006-06-27,12.26 ,-56.15 ,5.0 ,46.35 ,1.95 ,,1.95 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.37 ,,,,28.44,31.77,,,,,,
,qPCR,2006-06-27,12.26 ,-56.15 ,10.0 ,197.26 ,0.00 ,,0.00 ,2.71 ,,"Hemiaulus, Rhizosolenia",0.49 ,,,,28.42,31.81,,,,,,
,qPCR,2006-06-27,12.26 ,-56.15 ,30.0 ,39.43 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,28.14,35.36,0.000,0.000,,,,
,qPCR,2006-06-27,12.26 ,-56.15 ,40.0 ,166.99 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.36 ,,,,27.71,36.03,,0.000,,,,
,qPCR,2006-06-27,12.26 ,-56.15 ,50.0 ,1.92 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.59 ,,,,27.59,36.16,0.000,0.000,,,,
,qPCR,2006-06-27,12.26 ,-56.15 ,70.0 ,3.32 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,26.90,36.14,,0.000,,,,
,qPCR,2006-06-27,12.26 ,-56.15 ,100.0 ,0.00 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,26.18,36.41,0.000,0.238,,,,
,qPCR,2006-06-27,12.26 ,-56.15 ,200.0 ,0.00 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,18.09,36.45,0.000,0.241,,,,
,qPCR,2006-06-28,11.99 ,-54.45 ,5.0 ,733.08 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",8.03 ,,,,28.13,30.06,,0.000,,,,
,qPCR,2006-06-28,11.99 ,-54.45 ,20.0 ,910.90 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",1.60 ,,,,28.15,31.12,,,,,,
,qPCR,2006-06-28,11.99 ,-54.45 ,30.0 ,89.27 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",1.30 ,,,,28.14,35.37,,0.000,,,,
,qPCR,2006-06-28,11.99 ,-54.45 ,40.0 ,90.47 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",1.26 ,,,,27.69,36.04,,,,,,
,qPCR,2006-06-28,11.99 ,-54.45 ,50.0 ,2.49 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,27.42,36.14,,0.000,,,,
,qPCR,2006-06-28,11.99 ,-54.45 ,75.0 ,0.22 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,27.03,36.18,,0.000,,,,
,qPCR,2006-06-28,11.99 ,-54.45 ,100.0 ,0.16 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,26.37,36.23,,0.000,,,,
,qPCR,2006-06-28,11.99 ,-54.45 ,200.0 ,0.00 ,0.00 ,,0.00 ,0.02 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,16.43,36.10,,0.351,,,,
,qPCR,2006-06-29,11.62 ,-51.50 ,5.0 ,279.28 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",1.60 ,,,,27.94,33.80,0.000,0.000,,,,
,qPCR,2006-06-29,11.62 ,-51.50 ,20.0 ,116.98 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",2.26 ,,,,27.94,33.80,,,,,,
,qPCR,2006-06-29,11.62 ,-51.50 ,30.0 ,584.42 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",4.54 ,,,,28.06,34.94,,0.064,,,,
,qPCR,2006-06-29,11.62 ,-51.50 ,40.0 ,49.97 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,27.76,35.89,,0.013,,,,
,qPCR,2006-06-29,11.62 ,-51.50 ,60.0 ,30.07 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.61 ,,,,27.34,36.15,,0.055,,,,
,qPCR,2006-06-29,11.62 ,-51.50 ,75.0 ,51.93 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,27.02,36.22,,0.000,,,,
,qPCR,2006-06-29,11.62 ,-51.50 ,100.0 ,10.56 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,25.94,36.31,0.428,0.000,,,,
,qPCR,2006-06-29,11.62 ,-51.50 ,200.0 ,0.30 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,14.09,35.71,,,,,,
,qPCR,2006-06-30,11.71 ,-49.49 ,5.0 ,376.50 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,27.43,36.07,,,,,,
,qPCR,2006-06-30,11.71 ,-49.49 ,15.0 ,288.35 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.73 ,,,,27.46,36.07,,0.000,,,,
,qPCR,2006-06-30,11.71 ,-49.49 ,30.0 ,422.22 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.13 ,,,,27.45,36.09,,0.000,,,,
,qPCR,2006-06-30,11.71 ,-49.49 ,50.0 ,151.76 ,1.05 ,,1.05 ,0.24 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,26.99,36.39,,0.000,,,,
,qPCR,2006-06-30,11.71 ,-49.49 ,70.0 ,66.55 ,0.88 ,,0.88 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,26.83,36.43,,0.000,,,,
,qPCR,2006-06-30,11.71 ,-49.49 ,95.0 ,14.24 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,25.72,36.39,,0.000,,,,
,qPCR,2006-06-30,11.71 ,-49.49 ,110.0 ,56.07 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,22.72,36.52,,0.000,,,,
,qPCR,2006-06-30,11.71 ,-49.49 ,200.0 ,0.24 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,14.83,35.79,,,,,,
,qPCR,2006-07-01,11.79 ,-46.16 ,5.0 ,100.05 ,19.22 ,,19.22 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.67 ,,,,26.82,36.37,,,,,,
,qPCR,2006-07-01,11.79 ,-46.16 ,20.0 ,29.19 ,8.37 ,,8.37 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,26.85,36.37,,,,,,
,qPCR,2006-07-01,11.79 ,-46.16 ,40.0 ,286.42 ,7.75 ,,7.75 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.30 ,,,,26.84,36.36,,0.000,,,,
,qPCR,2006-07-01,11.79 ,-46.16 ,60.0 ,39.73 ,5.51 ,,5.51 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,26.81,36.36,,0.000,,,,
,qPCR,2006-07-01,11.79 ,-46.16 ,85.0 ,1.50 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,23.92,36.32,,0.045,,,,
,qPCR,2006-07-01,11.79 ,-46.16 ,100.0 ,0.62 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,22.66,36.73,,0.043,,,,
,qPCR,2006-07-01,11.79 ,-46.16 ,150.0 ,0.09 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,15.39,35.86,,0.707,,,,
,qPCR,2006-07-01,11.79 ,-46.16 ,200.0 ,0.12 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,12.05,35.56,,1.281,,,,
,qPCR,2006-07-03,11.79 ,-43.45 ,5.0 ,176.82 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.85 ,,,,27.38,36.14,,,,,,
,qPCR,2006-07-03,11.79 ,-43.45 ,20.0 ,4.78 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,27.38,36.14,,,,,,
,qPCR,2006-07-03,11.79 ,-43.45 ,40.0 ,10.93 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,27.83,36.14,,0.000,,,,
,qPCR,2006-07-03,11.79 ,-43.45 ,60.0 ,1.63 ,0.11 ,,0.11 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,26.87,36.31,,0.000,,,,
,qPCR,2006-07-03,11.79 ,-43.45 ,75.0 ,50.53 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,26.17,36.34,,0.000,,,,
,qPCR,2006-07-03,11.79 ,-43.45 ,100.0 ,15.32 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,24.19,36.30,,0.048,,,,
,qPCR,2006-07-03,11.79 ,-43.45 ,150.0 ,0.53 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,18.55,36.32,,0.910,,,,
,qPCR,2006-07-03,11.79 ,-43.45 ,200.0 ,0.13 ,0.00 ,,0.00 ,0.01 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,13.08,35.51,,,,,,
,qPCR,2006-07-04,12.43 ,-40.13 ,5.0 ,1.55 ,5.60 ,,5.60 ,0.00 ,,"Hemiaulus, Rhizosolenia",1.48 ,,,,26.35,36.43,,,,,,
,qPCR,2006-07-04,12.43 ,-40.13 ,15.0 ,0.10 ,1.51 ,,1.51 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,26.34,36.43,,0.000,,,,
,qPCR,2006-07-04,12.43 ,-40.13 ,40.0 ,5.64 ,1.55 ,,1.55 ,0.00 ,,"Hemiaulus, Rhizosolenia",1.25 ,,,,26.33,36.43,,0.000,,,,
,qPCR,2006-07-04,12.43 ,-40.13 ,75.0 ,6.82 ,13.68 ,,13.68 ,0.00 ,,"Hemiaulus, Rhizosolenia",2.85 ,,,,26.31,36.43,,0.000,,,,
,qPCR,2006-07-04,12.43 ,-40.13 ,96.0 ,0.00 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,22.90,36.74,,0.001,,,,
,qPCR,2006-07-04,12.43 ,-40.13 ,125.0 ,0.00 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,17.90,36.36,,0.667,,,,
,qPCR,2006-07-04,12.43 ,-40.13 ,150.0 ,0.00 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,16.15,36.05,,0.748,,,,
,qPCR,2006-07-04,12.43 ,-40.13 ,200.0 ,0.00 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,13.37,35.55,,1.296,,,,
,qPCR,2006-07-06,13.92 ,-35.28 ,15.0 ,0.00 ,0.73 ,,0.73 ,0.20 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,26.01,36.40,,,,,,
,qPCR,2006-07-06,13.92 ,-35.28 ,30.0 ,1.55 ,0.75 ,,0.75 ,0.79 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,25.98,36.40,,,,,,
,qPCR,2006-07-06,13.92 ,-35.28 ,50.0 ,3.68 ,0.15 ,,0.15 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,24.87,36.94,,0.000,,,,
,qPCR,2006-07-06,13.92 ,-35.28 ,75.0 ,7.00 ,28.89 ,,28.89 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,23.46,37.13,,0.000,,,,
,qPCR,2006-07-06,13.92 ,-35.28 ,105.0 ,0.35 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,22.28,37.13,,0.000,,,,
,qPCR,2006-07-06,13.92 ,-35.28 ,125.0 ,1.38 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,20.93,36.95,,0.000,,,,
,qPCR,2006-07-06,13.92 ,-35.28 ,150.0 ,0.00 ,0.00 ,,0.00 ,0.20 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,18.97,36.67,,0.000,,,,
,qPCR,2006-07-06,13.92 ,-35.28 ,200.0 ,0.00 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,15.75,36.05,,0.125,,,,
,qPCR,2006-07-07,14.98 ,-31.96 ,5.0 ,0.72 ,362.90 ,,362.90 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,25.19,36.35,,,,,,
,qPCR,2006-07-07,14.98 ,-31.96 ,20.0 ,1.04 ,174.95 ,,174.95 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.40 ,,,,25.13,36.35,,0.000,,,,
,qPCR,2006-07-07,14.98 ,-31.96 ,60.0 ,0.00 ,44.67 ,,44.67 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,23.36,36.89,,0.000,,,,
,qPCR,2006-07-07,14.98 ,-31.96 ,75.0 ,0.00 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,22.94,36.78,,0.121,,,,
,qPCR,2006-07-07,14.98 ,-31.96 ,90.0 ,0.00 ,0.48 ,,0.48 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,21.91,37.01,,0.205,,,,
,qPCR,2006-07-07,14.98 ,-31.96 ,125.0 ,0.00 ,0.00 ,,0.00 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,18.18,36.50,,0.600,,,,
,qPCR,2006-07-07,14.98 ,-31.96 ,150.0 ,0.00 ,0.01 ,,0.01 ,0.00 ,,"Hemiaulus, Rhizosolenia",0.00 ,,,,16.16,36.11,,0.466,,,,
