SOURCE: Related article,SOURCE: Related article,DATE (yyyy-mm-dd),LATITUDE,LONGITUDE,INTEGRAL DEPTH (m),Trichodesmium Colonies (x103 m-2),Trichodesmium Free trichomes (x106 m-2),Trichodesmium Total Trichomes (x106 m-2),UCYN Cells (x106 m-2),Richelia Associated Species,Richelia intracellularis (x106 m-2),Calothrix Associated Species,Calothrix intracellularis  (x106 m-2),Surface Temperature (˚C),Surface Salinity (PSU),Surface Nitrate (µM),Surface Phosphate (µM),Surface Fe (nM),Chlorophyll  (mg m-2),Notes
,Epifluorescence Microscopy ,2003-04-20,11.24,-54.59,30,17.305 ,,4.016 ,,Hemiaulus,1398.764 ,,,27.27 ,32.72 ,,0.03 ,0.64 ,25.03 ,"Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,2003-04-21,10.78,-52.28,105,281.543 ,,108.014 ,,Hemiaulus,171.726 ,,,26.67 ,36.11 ,,0.03 ,11.76 ,29.95 ,"Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,2003-04-22,8.88,-52.00,85,449.059 ,,90.441 ,,Hemiaulus,1.995 ,,,26.55 ,36.28 ,,0.24 ,3.22 ,24.82 ,"Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,2003-04-23,6.88,-52.03,33,3.169 ,,0.469 ,,Hemiaulus,0.176 ,,,28.05 ,24.63 ,,0.01 ,2.95 ,9.49 ,"Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,2003-04-24,7.14,-51.50,49,,,,,Hemiaulus,0.718 ,,,27.86 ,36.04 ,,0.03 ,4.84 ,7.54 ,"Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,2003-04-25,8.31,-51.68,57,49.547 ,,11.069 ,,Hemiaulus,16.927 ,,,28.05 ,34.10 ,,0.40 ,1.39 ,25.03 ,"Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,2003-04-26,9.81,-54.08,18,30.345 ,,3.374 ,,Hemiaulus,969.215 ,,,27.62 ,34.20 ,,0.02 ,0.41 ,15.17 ,"Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,2003-04-27,11.08,-56.25,15,109.387 ,,8.017 ,,Hemiaulus,708.088 ,,,27.67 ,33.94 ,,0.01 ,0.67 ,22.73 ,"Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,2003-04-30,12.99,-55.06,30,19.533 ,,1.636 ,,Hemiaulus,979.821 ,,,27.43 ,34.68 ,,,2.43 ,13.62 ,"Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,2003-05-01,11.59,-55.68,30,1.553 ,,0.492 ,,Hemiaulus,1164.208 ,,,27.57 ,34.55 ,,0.02 ,0.89 ,29.07 ,"Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,2003-05-02,10.35,-55.10,42,114.405 ,,18.762 ,,Hemiaulus,312.971 ,,,27.49 ,33.18 ,,0.00 ,4.20 ,29.77 ,"Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,2003-05-03,8.35,-55.64,25,99.467 ,,9.718 ,,Hemiaulus,842.468 ,,,27.74 ,31.91 ,,0.01 ,1.05 ,23.75 ,"Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,2003-05-04,7.51,-54.20,22,0.960 ,,0.142 ,,Hemiaulus,15.532 ,,,27.61 ,27.64 ,,,2.17 ,14.42 ,"Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,2003-05-05,9.49,-55.68,28,299.196 ,,26.479 ,,Hemiaulus,359.031 ,,,27.52 ,32.77 ,,0.03 ,2.41 ,11.86 ,"Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,2003-05-06,12.11,-56.06,30,6.621 ,,0.659 ,,Hemiaulus,1470.865 ,,,27.42 ,34.62 ,,0.01 ,2.50 ,25.01 ,"Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,2003-05-07,12.19,-56.02,27,2.531 ,,0.375 ,,Hemiaulus,1258.840 ,,,27.39 ,34.65 ,,,,30.73 ,"Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,2003-05-10,11.34,-56.51,27,9.994 ,,1.479 ,,Hemiaulus,1150.081 ,,,27.39 ,32.79 ,,0.01 ,2.43 ,27.36 ,"Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,2003-05-11,10.65,-54.28,80,244.700 ,,36.216 ,,Hemiaulus,209.890 ,,,27.37 ,34.67 ,,0.01 ,3.34 ,35.11 ,"Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,2003-05-12,10.70,-52.53,80,586.683 ,,86.829 ,,Hemiaulus,220.132 ,,,26.93 ,34.91 ,,0.02 ,0.73 ,25.84 ,"Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,2003-05-13,10.55,-50.07,130,258.660 ,,38.282 ,,Hemiaulus,3.522 ,,,27.16 ,36.08 ,,0.06 ,1.99 ,29.68 ,"Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,2003-05-14,10.44,-48.30,110,60.927 ,,4.265 ,,Hemiaulus,4.668 ,,,27.00 ,36.34 ,,0.02 ,0.79 ,,"Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,2003-05-15,8.23,-48.49,88,462.217 ,,69.333 ,,Hemiaulus,24.841 ,,,27.05 ,36.06 ,,0.02 ,1.23 ,24.96 ,"Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,2003-05-16,7.85,-50.06,89,386.571 ,,57.212 ,,Hemiaulus,13.153 ,,,27.07 ,35.72 ,,0.02 ,1.29 ,23.96 ,"Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,2003-05-17,6.68,-52.73,20,1.256 ,,0.186 ,,Hemiaulus,0.000 ,,,27.95 ,24.27 ,,,3.38 ,8.33 ,"Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,2003-05-18,8.32,-55.63,30,0.658 ,,0.037 ,,Hemiaulus,0.101 ,,,27.47 ,30.97 ,,0.04 ,1.24 ,9.59 ,"Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,2003-05-19,9.93,-57.90,40,3.805 ,,0.563 ,,Hemiaulus,3.127 ,,,27.56 ,32.85 ,,,2.00 ,9.00 ,"Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,2003-05-21,10.74,-55.39,43,0.210 ,,0.031 ,,Hemiaulus,2.537 ,,,27.68 ,32.57 ,,,1.38 ,,"Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
"Sohm et al. (2011), doi:10.1029/2010JG001513",Epifluorescence Microscopy ,2002-09-23,21.50,-157.00,175,34.434 ,1.163 ,8.050 ,,"Hemiaulus, Rhizosolenia",0.283 ,,,27.30 ,34.95 ,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis."
,Epifluorescence Microscopy ,2002-09-24,23.49,-156.98,150,33.687 ,1.493 ,8.230 ,,"Hemiaulus, Rhizosolenia",1.108 ,,,26.73 ,35.31 ,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis."
,Epifluorescence Microscopy ,2002-09-25,23.45,-156.98,150,20.229 ,0.764 ,4.810 ,,"Hemiaulus, Rhizosolenia",0.278 ,,,26.74 ,35.32 ,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis."
,Epifluorescence Microscopy ,2002-09-26,23.50,-157.00,150,28.768 ,1.726 ,7.479 ,,"Hemiaulus, Rhizosolenia",8.030 ,,,26.55 ,35.30 ,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis."
,Epifluorescence Microscopy ,2002-09-27,25.00,-154.50,150,58.055 ,3.152 ,14.763 ,,"Hemiaulus, Rhizosolenia",2.533 ,,,26.12 ,35.99 ,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis."
,Epifluorescence Microscopy ,2002-09-28,23.49,-155.11,150,5.416 ,0.718 ,1.801 ,,"Hemiaulus, Rhizosolenia",0.224 ,,,25.97 ,35.25 ,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis."
,Epifluorescence Microscopy ,2002-09-29,23.72,-156.39,150,10.394 ,1.101 ,3.180 ,,"Hemiaulus, Rhizosolenia",0.152 ,,,26.41 ,35.40 ,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis."
,Epifluorescence Microscopy ,2002-09-30,23.87,-156.34,150,7.132 ,2.645 ,4.072 ,,"Hemiaulus, Rhizosolenia",0.164 ,,,26.36 ,35.38 ,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis."
,Epifluorescence Microscopy ,2002-10-01,22.75,-158.00,150,43.500 ,2.941 ,11.641 ,,"Hemiaulus, Rhizosolenia",0.679 ,,,26.41 ,34.98 ,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis."
,Epifluorescence Microscopy ,2002-10-02,23.75,-159.47,150,49.663 ,3.439 ,13.371 ,,"Hemiaulus, Rhizosolenia",1.467 ,,,26.70 ,35.02 ,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis."
,Epifluorescence Microscopy ,2002-10-03,23.75,-159.49,150,28.954 ,2.080 ,7.870 ,,"Hemiaulus, Rhizosolenia",0.870 ,,,26.96 ,35.05 ,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis."
,Epifluorescence Microscopy ,2002-10-05,19.72,-156.45,150,50.278 ,3.391 ,13.446 ,,"Hemiaulus, Rhizosolenia",0.524 ,,,26.39 ,35.01 ,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis."
,Epifluorescence Microscopy ,2002-10-06,19.65,-156.45,150,32.728 ,0.691 ,7.237 ,,"Hemiaulus, Rhizosolenia",3.830 ,,,26.96 ,34.96 ,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis."
,Epifluorescence Microscopy ,2002-10-07,19.18,-155.23,150,0.000 ,2.651 ,2.651 ,,"Hemiaulus, Rhizosolenia",0.510 ,,,26.48 ,34.84 ,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis."
,Epifluorescence Microscopy ,2002-10-08,20.51,-155.47,150,49.478 ,1.822 ,11.718 ,,"Hemiaulus, Rhizosolenia",1.331 ,,,26.18 ,35.14 ,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis."
,Epifluorescence Microscopy ,2002-10-09,20.14,-156.40,150,8.626 ,2.208 ,3.933 ,,"Hemiaulus, Rhizosolenia",0.195 ,,,25.65 ,35.22 ,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis."
,Epifluorescence Microscopy ,2002-10-10,20.07,-156.49,150,29.521 ,2.338 ,8.242 ,,"Hemiaulus, Rhizosolenia",2.920 ,,,25.64 ,35.19 ,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis."
,Epifluorescence Microscopy ,2002-10-11,21.60,-156.37,150,34.652 ,7.560 ,14.490 ,,"Hemiaulus, Rhizosolenia",0.835 ,,,26.21 ,35.11 ,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis."
,Epifluorescence Microscopy ,2002-10-12,23.57,-157.65,150,24.809 ,0.398 ,5.360 ,,"Hemiaulus, Rhizosolenia",0.598 ,,,26.55 ,35.04 ,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis."
,Epifluorescence Microscopy ,2002-10-13,22.75,-158.02,150,0.000 ,0.034 ,0.034 ,,"Hemiaulus, Rhizosolenia",0.020 ,,,26.26 ,35.11 ,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis."
,Epifluorescence Microscopy ,2002-10-14,20.51,-157.99,150,51.762 ,2.127 ,12.480 ,,"Hemiaulus, Rhizosolenia",1.670 ,,,27.20 ,34.89 ,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis."
,Epifluorescence Microscopy ,2002-10-15,19.75,-156.33,150,15.761 ,1.922 ,5.074 ,,"Hemiaulus, Rhizosolenia",0.775 ,,,27.06 ,34.87 ,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis."
,Epifluorescence Microscopy ,2003-07-14,22.75,-158.00,165,12.700 ,0.386 ,2.926 ,,"Hemiaulus, Rhizosolenia",0.130 ,,,26.12 ,35.23 ,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis."
,Epifluorescence Microscopy ,2003-07-19,25.97,-175.00,165,0.000 ,0.120 ,0.120 ,,"Hemiaulus, Rhizosolenia",0.010 ,,,26.45 ,35.47 ,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis."
,Epifluorescence Microscopy ,2003-07-25,28.00,-170.00,110,0.000 ,0.000 ,0.000 ,,"Hemiaulus, Rhizosolenia",0.035 ,,,27.20 ,35.37 ,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis."
,Epifluorescence Microscopy ,2003-07-26,23.18,-172.20,165,0.000 ,0.000 ,0.000 ,,"Hemiaulus, Rhizosolenia",0.000 ,,,26.70 ,35.49 ,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis."
,Epifluorescence Microscopy ,2003-07-27,27.40,-175.70,165,0.000 ,0.000 ,0.000 ,,"Hemiaulus, Rhizosolenia",0.017 ,,,26.23 ,35.56 ,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis."
,Epifluorescence Microscopy ,2003-07-28,27.00,-179.70,110,0.000 ,0.000 ,0.000 ,,"Hemiaulus, Rhizosolenia",0.219 ,,,25.48 ,35.52 ,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis."
,Epifluorescence Microscopy ,2003-07-30,25.69,-170.94,110,0.000 ,0.000 ,0.000 ,,"Hemiaulus, Rhizosolenia",0.000 ,,,27.51 ,33.79 ,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis."
,Epifluorescence Microscopy ,2003-07-31,24.96,-167.01,165,1.500 ,0.141 ,0.441 ,,"Hemiaulus, Rhizosolenia",0.090 ,,,26.86 ,35.22 ,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis."
,Epifluorescence Microscopy ,2003-08-01,24.22,-164.01,165,0.891 ,0.536 ,0.714 ,,"Hemiaulus, Rhizosolenia",0.043 ,,,26.89 ,35.30 ,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis."
,Epifluorescence Microscopy ,2003-08-02,23.41,-160.65,165,7.809 ,0.397 ,1.958 ,,"Hemiaulus, Rhizosolenia",0.100 ,,,26.54 ,35.35 ,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis."
,Epifluorescence Microscopy ,2003-08-04,22.75,-158.00,165,25.100 ,0.991 ,6.011 ,,"Hemiaulus, Rhizosolenia",1.660 ,,,26.62 ,35.17 ,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis."
,Epifluorescence Microscopy ,2003-08-07,18.51,-156.99,165,74.898 ,0.573 ,15.552 ,,"Hemiaulus, Rhizosolenia",0.254 ,,,27.01 ,34.74 ,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis."
,Epifluorescence Microscopy ,2003-08-08,18.52,-156.98,165,18.894 ,0.783 ,4.561 ,,"Hemiaulus, Rhizosolenia",0.113 ,,,27.05 ,34.76 ,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis."
,Epifluorescence Microscopy ,2003-08-09,18.94,-154.80,110,0.000 ,0.003 ,0.003 ,,"Hemiaulus, Rhizosolenia",0.013 ,,,26.26 ,34.65 ,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis."
,Epifluorescence Microscopy ,2003-08-10,19.50,-157.00,110,62.210 ,0.391 ,12.833 ,,"Hemiaulus, Rhizosolenia",0.430 ,,,26.67 ,34.86 ,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis."
,Epifluorescence Microscopy ,2003-08-11,19.50,-157.00,110,13.000 ,0.331 ,2.931 ,,"Hemiaulus, Rhizosolenia",0.450 ,,,26.60 ,34.90 ,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis."
,Epifluorescence Microscopy ,2003-08-12,19.50,-159.00,110,47.661 ,1.578 ,11.110 ,,"Hemiaulus, Rhizosolenia",31.481 ,,,27.45 ,34.98 ,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis."
,Epifluorescence Microscopy ,2003-08-13,19.50,-159.00,110,9.500 ,0.993 ,2.893 ,,"Hemiaulus, Rhizosolenia",12.400 ,,,27.35 ,34.99 ,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis."
,Epifluorescence Microscopy ,2003-08-14,20.50,-161.00,110,28.660 ,0.932 ,6.664 ,,"Hemiaulus, Rhizosolenia",12.607 ,,,27.50 ,34.93 ,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis."
,Epifluorescence Microscopy ,2003-08-15,21.00,-159.00,165,27.818 ,1.277 ,6.840 ,,"Hemiaulus, Rhizosolenia",2.794 ,,,27.31 ,34.85 ,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis."
,Epifluorescence Microscopy ,2003-08-16,21.00,-159.00,110,14.803 ,1.282 ,4.243 ,,"Hemiaulus, Rhizosolenia",1.456 ,,,26.87 ,34.91 ,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis."
,Epifluorescence Microscopy ,2003-08-17,20.24,-156.50,110,19.000 ,0.466 ,4.266 ,,"Hemiaulus, Rhizosolenia",2.081 ,,,27.17 ,34.82 ,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis."
,Epifluorescence Microscopy ,2003-08-18,20.23,-158.92,165,22.500 ,2.166 ,6.666 ,,"Hemiaulus, Rhizosolenia",0.126 ,,,27.72 ,35.04 ,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis."
,Epifluorescence Microscopy ,2003-08-19,19.12,-162.22,165,18.000 ,2.221 ,5.821 ,,"Hemiaulus, Rhizosolenia",4.982 ,,,27.26 ,34.93 ,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis."
,Epifluorescence Microscopy ,2003-08-21,20.50,-161.50,110,4.800 ,0.795 ,1.755 ,,"Hemiaulus, Rhizosolenia",17.604 ,,,27.47 ,34.97 ,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis."
